# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=2112018396
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=testtraces_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,B,Q
-3997.17,0.996489,0.332161,2,7,0,3997.71,0.918756,0.89715
-3997.71,0.90406,0.512591,2,3,0,3997.93,0.916959,0.899111
-3997.58,1,0.648179,1,1,0,3997.73,0.916088,0.898926
-3997.43,0.116427,0.999178,3,7,0,3998.15,0.922984,0.897305
-3997.32,0.991908,0.243893,3,7,0,3998.17,0.915529,0.897496
-3998.05,0.978732,0.369885,3,7,0,3998.18,0.912888,0.900236
-3997.83,0.854282,0.543537,2,3,0,3998.64,0.910693,0.898101
-3997.57,1,0.616499,2,3,0,3997.83,0.919216,0.898442
-3997.57,0.00570763,0.939728,2,3,0,3999.39,0.919216,0.898442
-3997.31,0.999928,0.18999,3,7,0,3997.6,0.916487,0.897905
-3997.68,0.98609,0.290005,2,7,0,3999.27,0.911796,0.899078
-3998.21,0.829798,0.428702,1,3,0,3998.77,0.909808,0.897388
-3998.82,0.931713,0.461985,2,3,0,3999.19,0.90959,0.896364
-3998.75,0.953044,0.609156,2,5,0,4000.29,0.940913,0.889528
-3997.18,0.706541,0.835537,2,3,0,3998.75,0.919115,0.895989
-3997.15,0.964267,0.703268,2,5,0,3997.59,0.924137,0.894476
-3997.67,0.767866,0.982332,2,5,0,3998.71,0.914246,0.899285
-3997.67,0.00578347,0.932566,2,7,0,3998.14,0.914246,0.899285
-3997.61,0.999313,0.201788,3,7,0,3997.71,0.91281,0.898985
-3997.27,0.981251,0.301894,3,7,0,3997.87,0.916513,0.897567
-3997.99,0.931251,0.434605,3,7,0,3998.09,0.917275,0.899546
-3998.14,0.674352,0.566629,2,7,0,4000.33,0.920797,0.893244
-3998.46,0.999118,0.451656,3,15,0,3998.95,0.919568,0.899723
-3997.24,0.919531,0.66801,1,3,0,3999.24,0.920422,0.895167
-3998.35,0.62897,0.847112,3,7,0,3998.63,0.920548,0.893042
-3997.17,1,0.620652,2,3,0,3997.81,0.924464,0.89433
-3997.17,1.38871e-07,0.91337,2,5,0,4001.78,0.924464,0.89433
-3997.51,0.967464,0.207607,1,3,0,3997.98,0.922535,0.893812
-3997.65,0.982206,0.287978,2,7,0,3998.12,0.918792,0.89467
-3997.98,0.97565,0.409338,2,3,0,3998.06,0.917122,0.894642
-3997.82,1,0.573133,2,5,0,3998.31,0.935645,0.892946
-3997.67,1,0.836708,1,1,0,3997.75,0.932687,0.891861
-3997.36,0.621864,1.21763,1,3,0,3998.75,0.921274,0.897533
-3997.81,0.987879,0.222054,4,15,0,3998.02,0.922571,0.898121
-3997.81,0,3.12473,0,1,1,3999.27,0.922571,0.898121
-3999,0.898471,0.524644,2,5,0,3999.77,0.920116,0.900191
-3997.08,0.820628,0.564976,2,5,0,4000.2,0.924707,0.895294
-3997.3,0.975073,0.54287,4,15,0,3998.49,0.915942,0.897114
-3998.39,0.850139,0.860542,2,5,0,3999.68,0.939103,0.890272
-3998.39,0.987699,0.977998,1,1,0,3998.53,0.938886,0.890228
-3998.39,0.105407,1.73047,1,3,1,3998.53,0.938886,0.890228
-3999.48,0.980237,0.19458,4,15,0,3999.9,0.941077,0.893676
-3999.06,1,0.33976,2,3,0,3999.45,0.940614,0.893253
-4000.71,0.730192,0.637841,2,5,0,4003.56,0.951727,0.88844
-3999.18,0.997034,0.512348,3,7,0,4000.94,0.944309,0.88921
-3997.33,0.974118,0.957105,2,7,0,4000.41,0.915396,0.897409
-3997.28,0.996888,1.65829,1,1,0,3997.5,0.91625,0.897073
-3997.28,8.0061e-20,3.06882,1,1,0,4001.41,0.91625,0.897073
-3998.83,0.980942,0.256801,4,23,0,3999.17,0.942307,0.891568
-3998.94,0.998906,0.454859,3,7,0,3998.98,0.942797,0.891542
-3999.17,0.953307,0.844893,2,3,0,3999.37,0.944121,0.891162
-3999.17,0.000629865,1.35465,1,1,0,4001.26,0.944121,0.891162
-3998.49,0.999145,0.123008,4,15,0,3999.43,0.940673,0.891591
-3998.34,0.984477,0.228096,3,7,0,3999.28,0.938742,0.892711
-3997.4,0.999021,0.401095,3,15,0,3998.89,0.924533,0.893565
-3997.13,0.997123,0.729307,2,5,0,3997.35,0.919925,0.896841
-3997.49,0.171167,1.30573,1,3,0,3997.89,0.920776,0.894353
-3998.47,0.967087,0.2142,4,19,0,4000.1,0.940251,0.891944
-3997.28,0.992878,0.352227,2,7,0,3999.16,0.930051,0.893888
-3997.34,0.838073,0.617915,2,7,0,3998.41,0.924109,0.896768
-3997.12,0.995391,0.695167,3,7,0,3997.64,0.926497,0.894834
-3997.12,9.23587e-07,1.2097,1,1,0,3998.75,0.926497,0.894834
-3997.3,0.998018,0.133477,4,31,0,3998.09,0.918721,0.897806
-3997.21,0.995841,0.235015,1,3,0,3997.43,0.918091,0.897427
-3997.07,0.983715,0.407528,3,15,0,3997.5,0.924269,0.895039
-3997.21,0.996563,0.677814,3,7,0,3997.23,0.928631,0.893876
-3997.21,0.288428,1.15713,1,1,0,3997.45,0.928631,0.893876
-3997.14,0.999193,0.299778,2,7,0,3997.25,0.927242,0.894659
-3997.07,0.997494,0.51425,2,7,0,3997.39,0.921728,0.896005
-3997.12,0.967367,0.870801,1,1,0,3997.12,0.922358,0.896427
-3997.12,0.0480839,1.35277,1,1,0,3997.29,0.922358,0.896427
-3997.37,0.982651,0.196845,3,7,0,3998.17,0.917884,0.895708
-3997.6,0.982458,0.31939,2,5,0,3997.75,0.924797,0.897164
-3997.39,1,0.514179,2,3,0,3997.59,0.923964,0.89693
-3997.11,0.93723,0.858894,2,3,0,3997.27,0.923192,0.896177
-3997.11,0.0027372,1.21765,1,1,0,3997.65,0.923192,0.896177
-3997.39,0.994976,0.170069,3,15,0,3997.53,0.926706,0.896073
-3997.76,0.998978,0.279678,3,15,0,3997.9,0.929197,0.891924
-3998.32,0.879057,0.46114,2,3,0,3999.18,0.924546,0.89202
-3997.42,1,0.564651,1,3,0,3998.08,0.92742,0.89298
-3997.42,0.336513,0.922221,1,3,0,3998.96,0.92742,0.89298
